province_id,province_name,bws_raw,baseline_stress_score,sev_raw,seasonal_variability_score,iav_raw,interannual_variability_score,gtd_raw,groundwater_stress_score,drr_raw,drought_hazard_score,rfr_raw,flood_hazard_score,combined_risk_score
TUR.2_1,Adiyaman,0.28481501831789335,1.2652974309453038,0.44836985110023553,1.3451095533007067,0.43950289587777547,1.758011583511102,0.14783799999999997,1.073919,0.6285375578081938,3.1426877890409686,0.0017773535413086502,1.3004141364949249,1.5040383872852714
TUR.30_1,Erzincan,0.047527876586081146,0.04722553803800081,0.4189533518520619,1.2568600555561855,0.33424735690601376,1.3369894276240553,0.1230748815751175,1.073919,0.5425577521069203,2.7127887605346013,0.0016642513971425645,1.24836310608148,1.0420806219680654
TUR.31_1,Erzurum,0.10266412857863522,0.7068552766702116,0.5067939836355122,1.5203819509065366,0.33668749473338105,1.3467499789335244,0.13387669769830876,1.073919,0.5349408098009605,2.6747040490048026,0.004931780970912241,2.26194620763671,1.3362773176676628
TUR.32_1,Eskisehir,1.153488959497247,4.147455030701552,0.32723170552644537,0.9816951165793362,0.3736372180019078,1.4945488720076314,0.10731078400488224,1.0739190000000003,0.6179322855871092,3.0896614279355465,0.0036201664896592855,2.0077468494273605,2.1087526471573117
TUR.33_1,Gaziantep,0.6190403431287543,1.9652674544276372,0.43922231097082887,1.3176669329124868,0.41342439797113817,1.653697591884553,0.12547120128335054,1.073919,0.6966850140900664,3.4834250704503327,0.00410177650922682,2.3114129491331967,1.7305752460301398
TUR.34_1,Giresun,0.0732399846953426,0.3888024917530783,0.3456161435671122,1.0368484307013366,0.2526355916598984,1.0105423666395936,0.10475492998779258,1.0739189999999998,0.633958456318148,3.16979228159074,0.008964641703224358,3.1395682185901683,1.137623228534809
TUR.35_1,Gümüshane,0.22764452688051803,1.3684703140015575,0.36480857820527146,1.0944257346158146,0.2702769603725663,1.0811078414902653,0.08484800264211914,1.0739190000000003,0.581263335425859,2.906316677129294,0.008074533752022798,3.05401759782809,1.3927617397117458
TUR.36_1,Hakkari,1.0987614665259218,3.4631473552852694,0.8483222611584325,2.544966783475297,0.5527325303000376,2.21093012120015,0.0005193075679062259,,0.5454446234042652,2.727223117021327,0.005140159188153519,2.6765786210201266,2.734284198420309
TUR.37_1,Hatay,1.3017747076922226,4.356425357420179,0.6496194301327376,1.948858290398213,0.39286797183450667,1.5714718873380267,0.047321731242745406,1.0739190000000003,0.6649500491832165,3.324750245916084,0.013313212045665506,3.3869861238087573,2.522912281896907
TUR.38_1,Iğdır,0.44620627282608477,2.9617133145303813,0.6269414449714572,1.8808243349143716,0.3582467384117774,1.4329869536471098,-0.0061598600000000005,,0.5948625195647192,2.974312597823597,0.004636217682028973,2.491238860247004,2.1834035621741466
TUR.39_1,Isparta,0.705850776169815,3.582736022308747,0.3332429309715599,0.9997287929146795,0.32687296470723365,1.3074918588289346,0.04961737277157205,1.073919,0.5723895027856784,2.861947513928392,0.003721803391364716,2.0553719510194486,1.9140615100723304
TUR.3_1,Afyon,1.0537065380154704,4.3795813622290405,0.2550189743589731,0.7650569230769194,0.33171444524126775,1.326857780965071,0.05403356988157598,1.0739189999999998,0.6355049661124793,3.1775248305623958,0.00212310080782044,1.4727282521271696,2.0427547092358553
TUR.40_1,Istanbul,0.48376935893518297,2.1649394050182975,0.4732493131445049,1.4197479394335144,0.37518380163703413,1.5007352065481367,-0.11216957762312449,,0.6360774082725917,3.180387041362959,0.001976297570177653,1.1135835774960414,1.7596900587756283
